epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1206,1.11296,2.82948,1.36017,0.00409,1,0.7225,0.44219,1.01911,2.66922,1.47568,0.000542437,0.000542437,0.000542437
2,24.9868,1.36845,2.24619,1.57037,0.68338,0.52222,0.61124,0.36735,1.49762,2.30033,1.84456,0.00108723,0.00108723,0.00108723
3,32.111,1.35372,2.08639,1.55582,0.64013,0.64889,0.68211,0.25452,1.7571,2.75454,2.45067,0.00162103,0.00162103,0.00162103
4,39.4776,1.51144,2.15356,1.67848,0.59475,0.56667,0.52107,0.23433,1.64501,2.9681,2.3284,0.00161749,0.00161749,0.00161749
5,46.9311,1.4559,1.97603,1.58909,0.51406,0.69333,0.62073,0.31961,1.52502,2.094,2.05199,0.00160099,0.00160099,0.00160099
6,54.1013,1.43797,1.86546,1.59752,0.51532,0.72222,0.64052,0.33037,1.35396,2.35996,1.84702,0.00158448,0.00158448,0.00158448
7,61.3843,1.41747,1.80553,1.57991,0.71379,0.8388,0.85454,0.42351,1.22768,1.63704,1.71912,0.00156798,0.00156798,0.00156798
8,68.7264,1.39007,1.74003,1.55289,0.65069,0.59778,0.71499,0.35284,1.33834,1.8261,1.81779,0.00155148,0.00155148,0.00155148
9,75.2211,1.45966,1.79276,1.59016,0.63764,0.69778,0.61284,0.35166,1.31263,2.10274,1.79837,0.00153497,0.00153497,0.00153497
10,80.3089,1.37416,1.62297,1.53927,0.83068,0.66192,0.80554,0.45002,1.13399,1.61833,1.61661,0.00151847,0.00151847,0.00151847
11,84.1806,1.332,1.59729,1.53369,0.77311,0.83524,0.92934,0.57787,1.35948,1.54197,1.71525,0.00150197,0.00150197,0.00150197
12,88.834,1.34498,1.52231,1.52005,0.75719,0.65187,0.8011,0.46635,1.35415,1.72943,1.72194,0.00148546,0.00148546,0.00148546
13,93.9603,1.29706,1.452,1.49405,0.84962,0.78889,0.90012,0.56802,1.08247,1.24815,1.47528,0.00146896,0.00146896,0.00146896
14,99.4215,1.37991,1.44821,1.52599,0.891,0.76223,0.87657,0.55027,1.0343,1.23233,1.51577,0.00145246,0.00145246,0.00145246
15,104.993,1.2893,1.35447,1.4734,0.85194,0.8094,0.91569,0.54522,1.15095,1.05391,1.53216,0.00143595,0.00143595,0.00143595
16,110.641,1.33691,1.3642,1.5428,0.84007,0.66324,0.76416,0.43833,1.15126,1.16014,1.55479,0.00141945,0.00141945,0.00141945
17,116.576,1.23281,1.28014,1.43929,0.89859,0.65483,0.85538,0.54975,1.10467,1.12097,1.56098,0.00140295,0.00140295,0.00140295
18,122.856,1.22686,1.29182,1.44596,0.77594,0.89078,0.92623,0.54357,1.25221,0.99451,1.65591,0.00138644,0.00138644,0.00138644
19,128.618,1.1824,1.16504,1.42349,0.93192,0.87483,0.95162,0.61659,1.00079,0.81961,1.50541,0.00136994,0.00136994,0.00136994
20,134.62,1.22903,1.1538,1.42484,0.82527,0.85057,0.90924,0.61692,0.99566,0.89059,1.45201,0.00135344,0.00135344,0.00135344
21,140.488,1.25554,1.20034,1.44676,0.84562,0.91848,0.92272,0.65399,0.99394,0.89144,1.5128,0.00133693,0.00133693,0.00133693
22,146.708,1.1802,1.17085,1.38917,0.85766,0.96,0.96872,0.63123,1.04221,0.82567,1.42258,0.00132043,0.00132043,0.00132043
23,153.107,1.18097,1.13157,1.4113,0.99159,0.97824,0.98816,0.63503,0.98149,0.74662,1.42273,0.00130393,0.00130393,0.00130393
24,159.548,1.2431,1.08509,1.40936,0.85331,0.85943,0.90013,0.54868,1.11325,0.89759,1.63511,0.00128742,0.00128742,0.00128742
25,165.852,1.15841,1.10031,1.3794,0.9256,0.86889,0.91785,0.56356,1.1978,0.92392,1.56713,0.00127092,0.00127092,0.00127092
26,172.609,1.09922,1.02267,1.32206,0.7832,0.9074,0.89864,0.55499,1.21821,0.94044,1.56535,0.00125442,0.00125442,0.00125442
27,179.361,1.09581,1.02223,1.35406,0.96732,0.98,0.97225,0.6633,0.95059,0.68564,1.41814,0.00123791,0.00123791,0.00123791
