epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6985,1.16336,2.92265,1.44503,0.00383,0.91244,0.58868,0.34988,1.15999,2.74604,1.51916,0.000540231,0.000540231,0.000540231
2,31.9676,1.28043,2.18797,1.5093,0.37442,0.21522,0.20825,0.11051,1.81396,2.84544,2.51165,0.00108505,0.00108505,0.00108505
3,36.865,1.41918,2.11974,1.59931,0.4052,0.5062,0.44267,0.19565,1.55994,2.39073,2.0889,0.00161886,0.00161886,0.00161886
4,42.2293,1.44676,2.08884,1.64829,0.42473,0.39782,0.32089,0.16869,1.74437,3.07358,2.47018,0.00161749,0.00161749,0.00161749
5,47.5049,1.39895,1.99834,1.57217,0.54836,0.60502,0.60454,0.31918,1.47199,2.24759,1.87689,0.00160099,0.00160099,0.00160099
6,53.5319,1.41147,1.84421,1.57811,0.52302,0.57992,0.53265,0.33233,1.27715,2.80034,1.66571,0.00158448,0.00158448,0.00158448
7,59.6466,1.39115,1.71453,1.55207,0.32809,0.38571,0.32206,0.14151,2.00728,2.71701,2.21344,0.00156798,0.00156798,0.00156798
8,65.3028,1.35477,1.68525,1.53013,0.6799,0.61074,0.63497,0.37265,1.31819,2.12199,1.67724,0.00155148,0.00155148,0.00155148
9,71.9052,1.32997,1.66983,1.51443,0.52584,0.57583,0.54507,0.30581,1.50048,2.54543,1.98093,0.00153497,0.00153497,0.00153497
10,78.307,1.32591,1.62189,1.4911,0.46864,0.48329,0.42509,0.22007,1.63813,2.13924,2.05916,0.00151847,0.00151847,0.00151847
11,84.6297,1.36222,1.59493,1.53038,0.55681,0.4329,0.55998,0.32534,1.33787,1.78698,1.68637,0.00150197,0.00150197,0.00150197
12,91.0868,1.29479,1.54174,1.49495,0.66716,0.47926,0.56948,0.30734,1.58567,1.85675,1.89862,0.00148546,0.00148546,0.00148546
13,97.5053,1.32168,1.45678,1.50147,0.64345,0.52455,0.57853,0.33208,1.52677,2.04922,1.89483,0.00146896,0.00146896,0.00146896
14,103.636,1.32907,1.48168,1.54735,0.735,0.62298,0.70954,0.385,1.47571,1.77636,1.81993,0.00145246,0.00145246,0.00145246
15,110.158,1.2456,1.32775,1.45578,0.78804,0.65257,0.73344,0.45637,1.35775,1.43314,1.7849,0.00143595,0.00143595,0.00143595
16,117.768,1.24117,1.27222,1.41742,0.82453,0.61593,0.77165,0.47813,1.27898,1.3361,1.57903,0.00141945,0.00141945,0.00141945
17,125.045,1.19468,1.23007,1.40815,0.72915,0.74125,0.77123,0.43351,1.38707,1.31838,1.72022,0.00140295,0.00140295,0.00140295
18,132.354,1.30544,1.28574,1.47228,0.79092,0.61402,0.7464,0.44887,1.4051,1.29986,1.67277,0.00138644,0.00138644,0.00138644
19,140.003,1.30522,1.30503,1.46577,0.87106,0.7452,0.81463,0.47496,1.33711,1.13486,1.75091,0.00136994,0.00136994,0.00136994
20,146.948,1.23938,1.30008,1.44585,0.81003,0.72964,0.81494,0.52078,1.21113,1.16934,1.55669,0.00135344,0.00135344,0.00135344
21,154.911,1.21943,1.20499,1.42368,0.85412,0.70875,0.82394,0.54725,1.20466,1.16421,1.52112,0.00133693,0.00133693,0.00133693
22,162.434,1.2024,1.14344,1.4055,0.74285,0.7826,0.82813,0.49331,1.32925,1.24519,1.66519,0.00132043,0.00132043,0.00132043
23,169.683,1.23165,1.14765,1.39661,0.84641,0.78669,0.85961,0.53722,1.30246,1.08885,1.59128,0.00130393,0.00130393,0.00130393
