experimento_base,k_total,fold_num,mAP50_95,mAP50,precisao,recall
kfold_kfold_dataset_stratified_10_10folds_200ep,10,1,0.6192,0.8354,0.9013,0.6458
kfold_kfold_dataset_stratified_10_10folds_200ep,10,2,0.7657,0.9950,0.9885,0.9541
kfold_kfold_dataset_stratified_10_10folds_200ep,10,3,0.6739,0.9383,0.8566,0.8636
kfold_kfold_dataset_stratified_10_10folds_200ep,10,4,0.7449,0.9794,0.8824,0.9472
kfold_kfold_dataset_stratified_10_10folds_200ep,10,5,0.6108,0.8716,0.8079,0.8522
kfold_kfold_dataset_stratified_10_10folds_200ep,10,6,0.6712,0.9388,0.9223,0.9243
kfold_kfold_dataset_stratified_10_10folds_200ep,10,7,0.6141,0.9511,0.9585,0.8194
kfold_kfold_dataset_stratified_10_10folds_200ep,10,8,0.5003,0.7864,0.9447,0.7149
kfold_kfold_dataset_stratified_10_10folds_200ep,10,9,0.6496,0.9256,0.9297,0.8810
kfold_kfold_dataset_stratified_10_10folds_200ep,10,10,0.6801,0.9563,0.8481,0.9111
