experimento_base,k_total,fold_num,mAP50_95,mAP50,precisao,recall
kfold_kfold_dataset_5_5folds,5,1,0.3549,0.6429,0.0038,0.9133
kfold_kfold_dataset_5_5folds,5,2,0.6755,0.9507,0.9412,0.9201
kfold_kfold_dataset_5_5folds,5,3,0.6894,0.9252,0.9149,0.9208
kfold_kfold_dataset_5_5folds,5,4,0.6703,0.9232,0.9336,0.9358
kfold_kfold_dataset_5_5folds,5,5,0.7116,0.9801,0.9721,0.9269
kfold_kfold_dataset_10_10folds,10,1,0.7191,0.9782,0.9304,0.9754
kfold_kfold_dataset_10_10folds,10,2,0.6984,0.9865,0.9963,0.9125
kfold_kfold_dataset_10_10folds,10,3,0.8036,0.9941,0.9927,0.9688
kfold_kfold_dataset_10_10folds,10,4,0.6333,0.9285,0.9881,0.8805
kfold_kfold_dataset_10_10folds,10,5,0.7285,0.9443,0.9946,0.9157
kfold_kfold_dataset_10_10folds,10,6,0.7434,0.9517,0.8729,0.9078
kfold_kfold_dataset_10_10folds,10,7,0.6475,0.8500,0.8275,0.8847
kfold_kfold_dataset_10_10folds,10,8,0.8028,0.9845,0.9705,0.9259
kfold_kfold_dataset_10_10folds,10,9,0.7157,0.9855,0.9331,0.9375
kfold_kfold_dataset_10_10folds,10,10,0.7151,0.9534,0.9464,0.8558
kfold_kfold_dataset_15_15folds,15,1,0.8019,0.9780,0.9482,0.9417
kfold_kfold_dataset_15_15folds,15,2,0.6619,0.9903,0.9963,0.9462
kfold_kfold_dataset_15_15folds,15,3,0.6817,0.9950,1.0000,0.9451
kfold_kfold_dataset_15_15folds,15,4,0.7944,0.9950,0.9933,0.9924
kfold_kfold_dataset_15_15folds,15,5,0.8346,0.9938,0.8650,0.9706
kfold_kfold_dataset_15_15folds,15,6,0.5865,0.8956,0.9860,0.8661
kfold_kfold_dataset_15_15folds,15,7,0.6945,0.9313,0.8423,0.9371
kfold_kfold_dataset_15_15folds,15,8,0.7358,0.9639,0.9088,0.9688
kfold_kfold_dataset_15_15folds,15,9,0.7653,0.9794,0.9988,0.9286
kfold_kfold_dataset_15_15folds,15,10,0.6103,0.8710,0.7846,0.8783
kfold_kfold_dataset_15_15folds,15,11,0.8015,0.9927,0.9532,1.0000
kfold_kfold_dataset_15_15folds,15,12,0.7783,0.9950,0.9914,1.0000
kfold_kfold_dataset_15_15folds,15,13,0.7439,0.9806,0.9597,0.9525
kfold_kfold_dataset_15_15folds,15,14,0.7205,0.9513,0.9927,0.9399
kfold_kfold_dataset_15_15folds,15,15,0.7863,0.9804,0.9790,0.9643
kfold_kfold_dataset_20_20folds,20,1,0.8308,0.9677,0.9866,0.9643
kfold_kfold_dataset_20_20folds,20,2,0.7111,0.9919,0.9579,0.9733
kfold_kfold_dataset_20_20folds,20,3,0.6196,0.9906,0.9320,0.9758
kfold_kfold_dataset_20_20folds,20,4,0.7675,0.9175,0.8495,0.8667
kfold_kfold_dataset_20_20folds,20,5,0.8143,0.9950,0.9880,1.0000
kfold_kfold_dataset_20_20folds,20,6,0.7884,0.9950,0.9905,1.0000
kfold_kfold_dataset_20_20folds,20,7,0.8301,0.9950,0.9600,0.9897
kfold_kfold_dataset_20_20folds,20,8,0.6052,0.8952,0.9736,0.8393
kfold_kfold_dataset_20_20folds,20,9,0.6695,0.9129,0.9302,0.8692
kfold_kfold_dataset_20_20folds,20,10,0.8330,0.9950,0.9542,1.0000
kfold_kfold_dataset_20_20folds,20,11,0.6997,0.9389,0.9530,0.8913
kfold_kfold_dataset_20_20folds,20,12,0.7225,0.9950,0.7259,1.0000
kfold_kfold_dataset_20_20folds,20,13,0.5868,0.8239,0.9879,0.7569
kfold_kfold_dataset_20_20folds,20,14,0.7287,0.9896,0.8975,1.0000
kfold_kfold_dataset_20_20folds,20,15,0.8181,0.9950,0.9322,1.0000
kfold_kfold_dataset_20_20folds,20,16,0.7975,0.9950,0.9934,1.0000
kfold_kfold_dataset_20_20folds,20,17,0.8094,0.9950,0.9949,0.9977
kfold_kfold_dataset_20_20folds,20,18,0.7191,0.9840,0.9498,0.9957
kfold_kfold_dataset_20_20folds,20,19,0.6649,0.9050,0.8167,0.9246
kfold_kfold_dataset_20_20folds,20,20,0.8080,0.9950,0.9822,1.0000
