epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.49985,1.16138,2.85638,1.4093,0.00375,1,0.27256,0.14805,1.01916,2.79937,1.61537,0.000543038,0.000543038,0.000543038
2,13.6967,1.32233,2.08149,1.54101,0.9694,0.33333,0.37437,0.22062,1.65857,2.04985,2.04879,0.00108783,0.00108783,0.00108783
3,18.849,1.4034,2.03569,1.55924,0.67436,0.25,0.14362,0.03247,2.68526,3.47067,3.26764,0.00162161,0.00162161,0.00162161
4,24.5369,1.4783,2.03323,1.61842,0.94983,0.37373,0.44188,0.25678,1.31011,2.35489,1.82928,0.00161749,0.00161749,0.00161749
5,30.621,1.37685,1.87746,1.5478,0.9148,0.40639,0.43765,0.26001,1.27584,2.00446,1.78096,0.00160099,0.00160099,0.00160099
6,36.5444,1.41686,1.81607,1.54122,0.8922,0.45503,0.51389,0.31322,1.27112,2.25498,1.85133,0.00158448,0.00158448,0.00158448
7,42.3954,1.37947,1.70204,1.5178,0.45221,0.83333,0.5049,0.2562,1.52174,1.7899,1.85842,0.00156798,0.00156798,0.00156798
8,48.6392,1.39037,1.66509,1.50491,0.50723,0.95833,0.95013,0.41388,1.13449,1.56784,1.57963,0.00155148,0.00155148,0.00155148
9,54.6453,1.40037,1.62018,1.56373,0.35374,0.45833,0.42857,0.27959,1.26262,1.71474,1.68209,0.00153497,0.00153497,0.00153497
10,60.9209,1.39298,1.6334,1.54273,0.73651,1,0.987,0.50793,1.24249,1.32815,1.68452,0.00151847,0.00151847,0.00151847
11,67.7601,1.31146,1.51276,1.50159,0.4604,1,0.71763,0.39423,1.22249,1.25305,1.79394,0.00150197,0.00150197,0.00150197
12,74.2036,1.30438,1.42597,1.46166,1,0.43722,0.49222,0.39882,0.92411,0.89202,1.37998,0.00148546,0.00148546,0.00148546
13,80.5821,1.30384,1.34429,1.471,1,0.4516,0.4923,0.33248,1.24971,1.18552,1.59373,0.00146896,0.00146896,0.00146896
14,87.4253,1.22194,1.23728,1.40833,0.95676,0.45833,0.49542,0.33116,1.03271,1.35361,1.48095,0.00145246,0.00145246,0.00145246
15,94.4397,1.29335,1.34222,1.49167,0.87979,0.95833,0.97693,0.40289,1.11617,0.8822,1.47697,0.00143595,0.00143595,0.00143595
16,101.485,1.26091,1.2784,1.4428,0.5617,0.94733,0.73048,0.4617,1.08099,0.92925,1.56079,0.00141945,0.00141945,0.00141945
17,108.086,1.28127,1.26298,1.45048,0.56628,1,0.66333,0.47612,0.88745,0.81791,1.36949,0.00140295,0.00140295,0.00140295
18,114.749,1.23601,1.22436,1.44057,0.5,0.41483,0.504,0.35024,1.07193,0.9016,1.52635,0.00138644,0.00138644,0.00138644
19,121.876,1.25725,1.2306,1.43265,0.55521,1,0.597,0.35741,1.16858,0.95999,1.61939,0.00136994,0.00136994,0.00136994
20,128.855,1.23847,1.20099,1.42106,0.67892,0.98218,0.74625,0.48072,1.0294,0.76302,1.54713,0.00135344,0.00135344,0.00135344
21,136.154,1.21138,1.14884,1.40002,0.59362,1,0.995,0.48509,1.04892,0.78841,1.44528,0.00133693,0.00133693,0.00133693
22,143.688,1.2137,1.14782,1.41754,0.98661,0.5,0.4975,0.39535,0.96087,0.77343,1.42887,0.00132043,0.00132043,0.00132043
23,150.458,1.19602,1.09729,1.35848,0.41377,1,0.66333,0.4422,1.00581,0.71547,1.45354,0.00130393,0.00130393,0.00130393
24,155.585,1.12229,1.01427,1.32584,0.41963,1,0.96571,0.44545,0.86557,0.84508,1.33916,0.00128742,0.00128742,0.00128742
25,161.53,1.15011,0.98354,1.35547,0.99514,0.5,0.66333,0.39279,1.13501,0.62517,1.57062,0.00127092,0.00127092,0.00127092
26,167.475,1.15289,1.0406,1.36836,0.49636,0.9183,0.66333,0.4136,0.98105,0.71581,1.45767,0.00125442,0.00125442,0.00125442
27,173.65,1.17755,0.99431,1.36307,0.87606,1,0.995,0.64685,0.90812,0.60965,1.38649,0.00123791,0.00123791,0.00123791
28,178.786,1.158,1.01098,1.35573,0.8713,1,0.995,0.52638,1.01804,0.67383,1.52362,0.00122141,0.00122141,0.00122141
29,183.904,1.09209,0.98203,1.32533,0.68333,1,0.995,0.45876,0.9018,0.62585,1.46165,0.00120491,0.00120491,0.00120491
30,189.673,1.1044,1.03185,1.33477,0.95915,0.5,0.98538,0.48504,0.8959,0.79748,1.30688,0.0011884,0.0011884,0.0011884
31,194.858,1.06605,0.90499,1.30412,0.61706,1,0.74054,0.42649,0.92545,0.66304,1.38117,0.0011719,0.0011719,0.0011719
32,200.494,1.07873,0.86946,1.33125,0.71428,1,0.995,0.5278,0.99079,0.73874,1.39049,0.0011554,0.0011554,0.0011554
33,206.122,1.08698,0.88245,1.31727,0.64528,1,0.74625,0.55729,0.78499,0.60827,1.29742,0.00113889,0.00113889,0.00113889
34,212.034,1.09197,0.89021,1.31757,0.995,0.5,0.62187,0.49418,0.85513,0.56432,1.2931,0.00112239,0.00112239,0.00112239
35,217.572,1.03183,0.90219,1.29695,0.59498,1,0.66333,0.45767,0.9064,0.65451,1.43443,0.00110589,0.00110589,0.00110589
36,223.031,1.04917,0.87611,1.32416,0.98276,0.5,0.58042,0.3971,1.02618,0.75097,1.50707,0.00108938,0.00108938,0.00108938
37,228.742,1.05969,0.8759,1.31375,0.88035,1,0.995,0.62326,0.88889,0.59958,1.34919,0.00107288,0.00107288,0.00107288
38,235.269,1.03338,0.84932,1.28154,0.79944,1,0.995,0.69424,0.84923,0.57548,1.26982,0.00105638,0.00105638,0.00105638
39,242.009,1.05112,0.84185,1.29222,0.51384,1,0.98357,0.52085,0.79588,0.60941,1.24022,0.00103987,0.00103987,0.00103987
40,248.581,1.03384,0.84369,1.28956,0.49053,1,0.74317,0.50537,0.82002,0.62941,1.26603,0.00102337,0.00102337,0.00102337
41,254.212,0.99047,0.79869,1.25414,0.99336,0.5,0.53577,0.43799,0.79861,0.54145,1.26988,0.00100687,0.00100687,0.00100687
42,260.492,1.06449,0.83485,1.31284,0.56841,0.93096,0.74317,0.53295,0.96983,0.66526,1.37809,0.000990365,0.000990365,0.000990365
43,267.224,0.99762,0.82444,1.24847,0.86212,0.99805,0.99192,0.47505,0.86221,0.69961,1.31791,0.000973861,0.000973861,0.000973861
44,273.704,1.01745,0.80213,1.24668,0.66915,1,0.98885,0.6544,0.81715,0.54277,1.23796,0.000957358,0.000957358,0.000957358
45,280.415,0.98351,0.81299,1.25291,0.69687,1,0.995,0.67897,0.74591,0.43711,1.2757,0.000940855,0.000940855,0.000940855
46,287.167,1.01417,0.80789,1.2793,0.71434,1,0.74625,0.49359,0.80248,0.48777,1.29279,0.000924352,0.000924352,0.000924352
47,294.221,0.96576,0.77821,1.23058,0.94349,1,0.995,0.71774,0.93217,0.45409,1.38267,0.000907848,0.000907848,0.000907848
48,301.636,0.97804,0.77492,1.23494,0.94334,1,0.995,0.72323,0.96816,0.52272,1.42809,0.000891345,0.000891345,0.000891345
49,308.954,1.01498,0.73646,1.26222,0.80175,1,0.995,0.74364,0.90309,0.50582,1.37994,0.000874842,0.000874842,0.000874842
50,316.105,0.97207,0.77714,1.24949,0.85851,1,0.995,0.59134,0.87278,0.46676,1.34094,0.000858338,0.000858338,0.000858338
51,323.163,0.96353,0.76547,1.24161,0.94941,1,0.995,0.51811,0.87747,0.45078,1.44511,0.000841835,0.000841835,0.000841835
52,330.071,0.98318,0.73686,1.24985,0.7195,1,0.995,0.58629,0.91832,0.47414,1.42188,0.000825332,0.000825332,0.000825332
53,335.447,0.9456,0.74704,1.23535,0.73149,1,0.74625,0.50948,0.75178,0.48745,1.24059,0.000808828,0.000808828,0.000808828
54,341.017,0.96358,0.72261,1.25225,0.72091,1,0.74625,0.44875,0.88505,0.46977,1.33787,0.000792325,0.000792325,0.000792325
55,346.873,0.93052,0.74025,1.22866,0.63944,0.98815,0.74625,0.4423,0.90482,0.56456,1.37003,0.000775822,0.000775822,0.000775822
56,352.805,0.91888,0.68659,1.21743,0.939,0.99801,0.995,0.68048,0.76324,0.42128,1.26037,0.000759318,0.000759318,0.000759318
57,358.937,0.91624,0.66076,1.23046,0.8341,1,0.99192,0.69153,0.6872,0.45753,1.18477,0.000742815,0.000742815,0.000742815
58,365.529,0.9255,0.7062,1.21227,0.84247,1,0.99192,0.67856,0.67562,0.43859,1.14884,0.000726312,0.000726312,0.000726312
59,371.619,0.90427,0.69911,1.21615,0.64383,1,0.74625,0.45445,0.89646,0.47688,1.29863,0.000709809,0.000709809,0.000709809
60,376.614,0.87721,0.64337,1.19177,0.99129,0.5,0.66333,0.46099,0.80125,0.49267,1.24504,0.000693305,0.000693305,0.000693305
61,382.183,0.9051,0.68465,1.19661,0.80923,1,0.995,0.5443,0.73124,0.43692,1.17842,0.000676802,0.000676802,0.000676802
62,388.346,0.86442,0.6495,1.19189,0.69433,1,0.995,0.63376,0.78316,0.46071,1.24089,0.000660299,0.000660299,0.000660299
63,394.501,0.92158,0.65181,1.19777,0.90942,1,0.995,0.71415,0.75707,0.42568,1.21391,0.000643795,0.000643795,0.000643795
64,400.43,0.90537,0.68517,1.20375,0.95695,1,0.995,0.70889,0.75652,0.38488,1.23981,0.000627292,0.000627292,0.000627292
65,406.215,0.91747,0.68635,1.20732,0.85951,1,0.995,0.73327,0.86454,0.4944,1.26275,0.000610789,0.000610789,0.000610789
66,412.035,0.88437,0.65761,1.2056,0.80823,1,0.995,0.65223,0.89188,0.45119,1.37244,0.000594286,0.000594286,0.000594286
67,418.477,0.85815,0.61785,1.16699,0.89921,1,0.995,0.70211,0.79351,0.3938,1.28186,0.000577782,0.000577782,0.000577782
68,424.932,0.88035,0.64414,1.18867,0.89233,1,0.995,0.71173,0.88986,0.42239,1.38366,0.000561279,0.000561279,0.000561279
69,430.875,0.87426,0.63299,1.18339,0.93415,1,0.995,0.75813,0.83347,0.41279,1.36986,0.000544776,0.000544776,0.000544776
70,437.484,0.85179,0.62012,1.15945,0.93242,1,0.99192,0.79142,0.86827,0.43163,1.39017,0.000528272,0.000528272,0.000528272
71,443.897,0.83751,0.62479,1.16981,0.90337,1,0.995,0.62358,0.87331,0.45294,1.35973,0.000511769,0.000511769,0.000511769
72,450.227,0.81954,0.59718,1.13983,0.98202,1,0.995,0.61794,0.90081,0.38691,1.39093,0.000495266,0.000495266,0.000495266
73,457.37,0.81307,0.5801,1.12732,0.9666,1,0.995,0.69678,0.87324,0.40576,1.36834,0.000478762,0.000478762,0.000478762
74,464.621,0.83489,0.60563,1.14221,0.94525,1,0.995,0.61065,0.8772,0.4229,1.34385,0.000462259,0.000462259,0.000462259
75,471.884,0.84749,0.61651,1.17431,0.84661,1,0.995,0.67056,0.8489,0.39601,1.28659,0.000445756,0.000445756,0.000445756
76,478.674,0.82549,0.61479,1.16194,0.71041,0.98219,0.74625,0.50583,0.74561,0.4392,1.18457,0.000429253,0.000429253,0.000429253
77,485.826,0.83036,0.62306,1.18164,0.73,1,0.74625,0.50701,0.84654,0.42021,1.23757,0.000412749,0.000412749,0.000412749
78,492.2,0.80043,0.58064,1.12346,0.72952,1,0.74625,0.50897,0.82651,0.43951,1.2174,0.000396246,0.000396246,0.000396246
79,499.679,0.82506,0.59979,1.16314,0.91745,1,0.995,0.67008,0.74537,0.40183,1.19129,0.000379743,0.000379743,0.000379743
80,507.108,0.8144,0.58842,1.13089,0.90322,1,0.995,0.76584,0.77327,0.40847,1.22746,0.000363239,0.000363239,0.000363239
81,513.748,0.79075,0.57846,1.14461,0.95218,1,0.995,0.80351,0.81759,0.37848,1.30799,0.000346736,0.000346736,0.000346736
82,519.328,0.81778,0.59575,1.14382,0.87612,1,0.995,0.76934,0.73659,0.35918,1.22108,0.000330233,0.000330233,0.000330233
83,524.818,0.78738,0.54871,1.13063,0.93172,1,0.995,0.81818,0.73274,0.35663,1.20025,0.000313729,0.000313729,0.000313729
84,530.216,0.77532,0.54865,1.1275,0.7089,1,0.995,0.763,0.74111,0.3513,1.21996,0.000297226,0.000297226,0.000297226
85,536.685,0.76751,0.53775,1.118,0.93896,1,0.995,0.67539,0.75504,0.35966,1.23609,0.000280723,0.000280723,0.000280723
86,542.677,0.77308,0.53324,1.121,0.92626,1,0.995,0.63391,0.78057,0.35214,1.3181,0.00026422,0.00026422,0.00026422
87,548.969,0.75519,0.53609,1.10652,0.88247,1,0.995,0.53271,0.79307,0.38482,1.32473,0.000247716,0.000247716,0.000247716
88,555.457,0.72935,0.5325,1.10053,0.9284,1,0.995,0.60701,0.78507,0.37292,1.29058,0.000231213,0.000231213,0.000231213
89,561.442,0.70874,0.48775,1.08027,0.90429,1,0.995,0.67784,0.7163,0.35547,1.22467,0.00021471,0.00021471,0.00021471
90,567.078,0.72802,0.51871,1.10661,0.91439,1,0.995,0.61789,0.7729,0.3557,1.2671,0.000198206,0.000198206,0.000198206
91,575.54,0.58989,0.44258,1.03059,0.92583,1,0.995,0.59068,0.81376,0.36834,1.26344,0.000181703,0.000181703,0.000181703
92,581.504,0.58275,0.38824,1.01728,0.69413,1,0.995,0.59364,0.79972,0.37262,1.26623,0.0001652,0.0001652,0.0001652
93,587.838,0.56864,0.38247,1.00717,0.74394,1,0.995,0.64252,0.7487,0.36374,1.23645,0.000148696,0.000148696,0.000148696
94,594.185,0.53826,0.36321,0.99653,0.76549,1,0.995,0.59634,0.74808,0.3698,1.24558,0.000132193,0.000132193,0.000132193
95,600.161,0.52609,0.34754,0.99055,0.76866,1,0.995,0.62242,0.72569,0.37212,1.22401,0.00011569,0.00011569,0.00011569
96,606.573,0.53239,0.35157,0.98781,0.68984,1,0.995,0.63103,0.76925,0.33189,1.30042,9.91865e-05,9.91865e-05,9.91865e-05
97,613.031,0.53638,0.35074,0.99071,0.69182,1,0.995,0.59507,0.78999,0.32013,1.32431,8.26832e-05,8.26832e-05,8.26832e-05
98,619.213,0.52884,0.34297,0.98417,0.75169,1,0.995,0.65296,0.7577,0.33493,1.27043,6.61799e-05,6.61799e-05,6.61799e-05
99,626.774,0.51162,0.33171,0.96833,0.7088,1,0.995,0.68897,0.73334,0.33812,1.24081,4.96766e-05,4.96766e-05,4.96766e-05
100,633.737,0.49829,0.32693,0.95497,0.7134,1,0.995,0.69184,0.73658,0.3344,1.23812,3.31733e-05,3.31733e-05,3.31733e-05
