epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.86582,1.07762,2.82104,1.37039,0.80083,0.15114,0.53883,0.30987,1.13706,2.74097,1.49992,0.000542437,0.000542437,0.000542437
2,12.3597,1.35617,2.17458,1.59395,0.70814,0.52761,0.57737,0.30832,1.40634,2.3984,1.76586,0.00109267,0.00109267,0.00109267
3,18.3619,1.4126,2.13233,1.62167,0.46806,0.35147,0.3096,0.16072,2.09848,2.57773,2.3426,0.0016374,0.0016374,0.0016374
4,24.0813,1.46044,2.05645,1.69228,0.52566,0.46471,0.48249,0.25726,1.8524,3.1605,2.13843,0.00164225,0.00164225,0.00164225
5,29.877,1.43206,1.91189,1.64382,0.23597,0.67794,0.30468,0.15907,1.45997,2.54327,1.80238,0.00163399,0.00163399,0.00163399
6,35.9851,1.3793,1.89216,1.54981,0.46674,0.46912,0.37814,0.1533,1.52342,2.85442,1.94414,0.00162574,0.00162574,0.00162574
7,41.5877,1.40642,1.79521,1.57299,0.60144,0.62794,0.64697,0.29458,1.5268,2.12216,1.86615,0.00161749,0.00161749,0.00161749
8,47.6241,1.40034,1.72443,1.5553,0.62545,0.60894,0.61949,0.31678,1.36768,2.14912,1.65144,0.00160924,0.00160924,0.00160924
9,53.4244,1.36292,1.62827,1.52773,0.70716,0.56471,0.66509,0.37736,1.27744,1.85218,1.582,0.00160099,0.00160099,0.00160099
10,59.5101,1.35607,1.52458,1.52835,0.77379,0.71719,0.77361,0.4132,1.38301,1.73084,1.6407,0.00159274,0.00159274,0.00159274
11,65.8177,1.35274,1.62305,1.53022,0.75726,0.67434,0.77011,0.42815,1.3677,1.77512,1.68427,0.00158448,0.00158448,0.00158448
12,71.7346,1.34997,1.55434,1.5646,0.60942,0.47362,0.5561,0.30125,1.48807,2.15178,1.8107,0.00157623,0.00157623,0.00157623
13,77.634,1.26604,1.42518,1.46744,0.80348,0.70763,0.78176,0.4337,1.56458,1.79294,1.79795,0.00156798,0.00156798,0.00156798
14,83.4768,1.27916,1.38435,1.46136,0.7514,0.56765,0.62892,0.36019,1.31524,1.81724,1.64851,0.00155973,0.00155973,0.00155973
15,89.2515,1.22763,1.3622,1.45189,0.66843,0.80735,0.79451,0.50017,1.33535,1.81094,1.53966,0.00155148,0.00155148,0.00155148
16,95.0441,1.27852,1.32149,1.48747,0.85565,0.73235,0.81388,0.51782,1.47775,1.23438,1.73101,0.00154323,0.00154323,0.00154323
17,100.991,1.28268,1.34743,1.47603,0.69524,0.7381,0.77646,0.48351,1.38655,1.38076,1.61667,0.00153497,0.00153497,0.00153497
18,106.697,1.24949,1.31714,1.46968,0.58212,0.74412,0.71451,0.43039,1.83641,1.62475,2.29351,0.00152672,0.00152672,0.00152672
19,112.768,1.20976,1.21892,1.44029,0.8842,0.85039,0.89744,0.56915,1.55517,1.20371,1.7393,0.00151847,0.00151847,0.00151847
20,118.986,1.23534,1.17371,1.43827,0.72082,0.60596,0.70223,0.37004,1.45935,1.56281,1.79985,0.00151022,0.00151022,0.00151022
21,125.072,1.27997,1.2226,1.47178,0.8046,0.86176,0.87954,0.50446,1.2321,1.67441,1.62637,0.00150197,0.00150197,0.00150197
22,130.865,1.21592,1.14958,1.40867,0.94094,0.86666,0.89996,0.57047,1.32776,1.49448,1.49619,0.00149372,0.00149372,0.00149372
23,136.715,1.19088,1.14733,1.43221,0.84122,0.8039,0.85192,0.50947,1.44514,1.384,1.59977,0.00148546,0.00148546,0.00148546
24,142.619,1.13729,1.05766,1.3562,0.75633,0.82794,0.7972,0.45353,1.52597,1.52682,1.72867,0.00147721,0.00147721,0.00147721
25,148.43,1.14597,1.11142,1.38382,0.80785,0.85224,0.87156,0.61073,1.13667,1.41903,1.46313,0.00146896,0.00146896,0.00146896
26,153.98,1.18406,1.05504,1.36823,0.81472,0.82935,0.86615,0.55585,1.13845,0.99962,1.44115,0.00146071,0.00146071,0.00146071
27,159.655,1.16508,1.03633,1.4063,0.8763,0.85735,0.92047,0.56246,1.33906,1.08911,1.57735,0.00145246,0.00145246,0.00145246
28,165.34,1.17408,1.0697,1.39476,0.87189,0.78136,0.87251,0.5572,1.12882,1.09792,1.41357,0.00144421,0.00144421,0.00144421
29,171.084,1.18319,1.06862,1.38626,0.87601,0.84536,0.87186,0.57263,1.01842,1.28631,1.36638,0.00143595,0.00143595,0.00143595
30,176.894,1.1261,1.02571,1.3389,0.92593,0.742,0.89722,0.55887,1.1315,1.39226,1.43663,0.0014277,0.0014277,0.0014277
31,182.554,1.10808,0.99437,1.36544,0.90262,0.75735,0.82499,0.51095,1.32723,1.34493,1.50877,0.00141945,0.00141945,0.00141945
32,188.444,1.18831,1.05234,1.41589,0.9364,0.80802,0.90468,0.56495,1.24627,0.89484,1.52082,0.0014112,0.0014112,0.0014112
33,194.28,1.2393,1.10211,1.43019,0.79839,0.82527,0.86866,0.51119,1.22333,1.3138,1.48514,0.00140295,0.00140295,0.00140295
34,200.21,1.11959,1.00314,1.37503,0.85365,0.77794,0.79943,0.49792,1.37096,1.21805,1.56042,0.0013947,0.0013947,0.0013947
35,205.871,1.14492,1.02087,1.3822,0.8982,0.85317,0.88307,0.53016,1.37263,1.24479,1.54678,0.00138644,0.00138644,0.00138644
36,211.838,1.17781,1.05243,1.40064,0.91356,0.8319,0.88271,0.53732,1.28084,1.14134,1.49364,0.00137819,0.00137819,0.00137819
