epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.10382,1.17205,2.83969,1.41125,0.00349,1,0.64227,0.37526,1.28883,2.85287,1.77567,0.000542114,0.000542114,0.000542114
2,10.8864,1.34529,2.1674,1.56685,0.69164,0.65484,0.63239,0.33295,1.47913,2.10448,2.17633,0.00109235,0.00109235,0.00109235
3,16.1472,1.36118,2.06421,1.55562,0.50416,0.5013,0.52749,0.28685,1.37086,2.55907,2.0118,0.00163708,0.00163708,0.00163708
4,21.016,1.49261,2.0696,1.61721,0.36437,0.50484,0.45984,0.2399,1.38565,2.52628,1.90264,0.00164225,0.00164225,0.00164225
5,25.939,1.40174,1.93865,1.55205,0.70554,0.50645,0.61523,0.3193,1.40667,2.45887,1.97752,0.00163399,0.00163399,0.00163399
6,30.7627,1.39463,1.8421,1.53931,0.71811,0.58622,0.63628,0.33835,1.59263,3.08209,2.07623,0.00162574,0.00162574,0.00162574
7,35.8045,1.36047,1.7154,1.54768,0.53656,0.55806,0.62645,0.36422,1.52944,2.26389,2.14501,0.00161749,0.00161749,0.00161749
8,40.6724,1.3556,1.69026,1.51743,0.67331,0.50968,0.61064,0.33098,1.49017,2.10275,1.89844,0.00160924,0.00160924,0.00160924
9,45.8098,1.36106,1.5688,1.4875,0.43224,0.61023,0.53352,0.2956,1.43671,2.02722,1.95802,0.00160099,0.00160099,0.00160099
10,51.2191,1.33375,1.58339,1.50176,0.5841,0.57373,0.51914,0.29654,1.42463,1.79291,1.883,0.00159274,0.00159274,0.00159274
11,55.8326,1.36013,1.55714,1.50853,0.90715,0.60313,0.77712,0.47641,1.44047,1.40042,2.04538,0.00158448,0.00158448,0.00158448
12,60.9161,1.34027,1.45148,1.50953,0.80907,0.73934,0.76239,0.43018,1.51255,1.4751,2.12122,0.00157623,0.00157623,0.00157623
13,65.914,1.33992,1.40738,1.50168,0.41744,0.68548,0.5359,0.29419,1.56494,1.65676,2.0406,0.00156798,0.00156798,0.00156798
14,70.8096,1.3354,1.38106,1.48182,0.64536,0.57822,0.62108,0.38358,1.67195,1.84759,2.14058,0.00155973,0.00155973,0.00155973
