epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.027,1.14718,2.97477,1.42531,0.00408,0.975,0.5207,0.31396,1.06248,2.88992,1.44564,0.00045009,0.00045009,0.00045009
2,18.5545,1.30046,2.24107,1.49558,0.71807,0.00901,0.26171,0.12022,1.82832,2.82849,2.06762,0.000907773,0.000907773,0.000907773
3,21.6333,1.41554,2.15902,1.60675,0.61301,0.16059,0.29475,0.14336,1.66934,2.63608,2.09876,0.00135621,0.00135621,0.00135621
4,24.531,1.41529,2.10147,1.57437,0.43111,0.37973,0.35945,0.17304,1.72573,2.36672,2.14405,0.00161749,0.00161749,0.00161749
5,27.9366,1.46897,2.05807,1.62765,0.30348,0.30372,0.20898,0.10982,1.84379,2.81173,2.09916,0.00160099,0.00160099,0.00160099
6,33.0239,1.44124,1.98043,1.589,0.68512,0.20721,0.19598,0.06645,2.28635,3.27932,2.82868,0.00158448,0.00158448,0.00158448
7,38.3815,1.51522,1.96705,1.65883,0.20742,0.29313,0.1714,0.06565,2.55595,3.4075,3.18481,0.00156798,0.00156798,0.00156798
8,42.5749,1.45065,1.89655,1.56891,0.43917,0.43874,0.42944,0.20685,1.69902,2.25897,2.05651,0.00155148,0.00155148,0.00155148
9,45.32,1.37339,1.82785,1.58351,0.69998,0.54788,0.5934,0.33456,1.53563,2.06429,1.89998,0.00153497,0.00153497,0.00153497
10,48.196,1.36499,1.73936,1.53655,0.64087,0.5518,0.58929,0.3333,1.33091,2.13585,1.71035,0.00151847,0.00151847,0.00151847
11,51.5254,1.38129,1.70167,1.53392,0.75831,0.58917,0.65396,0.32406,1.37218,1.84607,1.68489,0.00150197,0.00150197,0.00150197
12,56.8232,1.30916,1.66044,1.50624,0.69766,0.46966,0.47062,0.20632,1.71343,2.33366,2.14235,0.00148546,0.00148546,0.00148546
13,62.2698,1.30355,1.50172,1.47124,0.75454,0.53022,0.65701,0.3296,1.5658,1.93071,1.91822,0.00146896,0.00146896,0.00146896
14,66.9517,1.3501,1.52378,1.50448,0.76286,0.56658,0.69486,0.41367,1.31848,1.67595,1.67404,0.00145246,0.00145246,0.00145246
15,69.9665,1.37483,1.58856,1.51324,0.58802,0.75063,0.70291,0.39448,1.37789,1.62675,1.72148,0.00143595,0.00143595,0.00143595
16,72.9608,1.31797,1.52065,1.48747,0.85184,0.72038,0.79321,0.47711,1.2586,1.32071,1.59247,0.00141945,0.00141945,0.00141945
17,75.884,1.27206,1.49321,1.50385,0.81997,0.76092,0.79004,0.47748,1.23238,1.31028,1.54014,0.00140295,0.00140295,0.00140295
18,80.149,1.28252,1.4472,1.46838,0.85385,0.67913,0.77469,0.45267,1.26331,1.48678,1.58305,0.00138644,0.00138644,0.00138644
19,85.4011,1.23345,1.39543,1.41073,0.80611,0.53739,0.68303,0.41319,1.37618,1.52944,1.72694,0.00136994,0.00136994,0.00136994
20,90.3416,1.26769,1.39743,1.47215,0.87049,0.66743,0.72133,0.38546,1.36444,1.5058,1.66607,0.00135344,0.00135344,0.00135344
21,93.7935,1.19507,1.28792,1.40432,0.72555,0.77052,0.77114,0.47544,1.24026,1.31735,1.58327,0.00133693,0.00133693,0.00133693
22,96.6824,1.23857,1.24306,1.38381,0.73852,0.69696,0.74254,0.46368,1.20331,1.24243,1.51786,0.00132043,0.00132043,0.00132043
23,100.064,1.21812,1.22088,1.42892,0.80139,0.75803,0.80881,0.53127,1.1744,1.11964,1.52346,0.00130393,0.00130393,0.00130393
24,104.133,1.23545,1.29786,1.46452,0.77389,0.75495,0.79,0.48418,1.17693,1.14255,1.51474,0.00128742,0.00128742,0.00128742
25,108.354,1.18746,1.19358,1.39143,0.77302,0.70191,0.77781,0.49087,1.22225,1.18933,1.51051,0.00127092,0.00127092,0.00127092
26,112.653,1.14731,1.15483,1.35103,0.70614,0.76553,0.77425,0.49038,1.20725,1.12935,1.51032,0.00125442,0.00125442,0.00125442
27,115.985,1.16884,1.1447,1.37054,0.80829,0.72829,0.811,0.52372,1.20675,1.0756,1.55271,0.00123791,0.00123791,0.00123791
28,119.485,1.16628,1.08227,1.36768,0.65374,0.73637,0.7348,0.45746,1.26018,1.22731,1.54788,0.00122141,0.00122141,0.00122141
29,124.058,1.07502,1.08067,1.30679,0.87134,0.79347,0.83256,0.53791,1.15112,1.05797,1.46273,0.00120491,0.00120491,0.00120491
30,128.105,1.07586,1.09169,1.35586,0.83914,0.70863,0.77964,0.47185,1.30157,1.17321,1.70198,0.0011884,0.0011884,0.0011884
31,131.742,1.13603,1.10345,1.37328,0.83399,0.74743,0.83458,0.55567,1.08837,0.94882,1.4416,0.0011719,0.0011719,0.0011719
32,134.999,1.11289,1.03001,1.33391,0.867,0.74245,0.83242,0.54878,1.13291,0.96373,1.47877,0.0011554,0.0011554,0.0011554
33,139.11,1.18406,1.0806,1.40047,0.85515,0.76291,0.85413,0.55584,1.14638,0.91682,1.48123,0.00113889,0.00113889,0.00113889
34,143.84,1.11546,1.00786,1.32332,0.86979,0.73288,0.82164,0.54807,1.15634,1.01715,1.49939,0.00112239,0.00112239,0.00112239
35,147.97,1.09623,1.00338,1.34458,0.75784,0.73351,0.77837,0.47701,1.24682,1.07004,1.60551,0.00110589,0.00110589,0.00110589
36,151.48,1.11289,1.03804,1.34971,0.92335,0.7508,0.83173,0.54989,1.16708,0.94541,1.52833,0.00108938,0.00108938,0.00108938
37,154.92,1.07087,0.96774,1.29281,0.89099,0.75541,0.85453,0.57753,1.11636,0.88892,1.4538,0.00107288,0.00107288,0.00107288
38,158.717,1.02319,0.93554,1.26112,0.89485,0.79119,0.86314,0.59941,1.10892,0.86224,1.4404,0.00105638,0.00105638,0.00105638
39,163.526,1.03312,0.97747,1.29279,0.77215,0.79493,0.83668,0.55944,1.14287,0.96453,1.48016,0.00103987,0.00103987,0.00103987
40,168.053,1.10556,0.98421,1.36283,0.85979,0.74288,0.80918,0.53696,1.20782,1.0256,1.57496,0.00102337,0.00102337,0.00102337
41,171.917,1.02922,0.95523,1.28739,0.83471,0.79347,0.86685,0.6058,1.0927,0.82378,1.44434,0.00100687,0.00100687,0.00100687
42,174.869,1.02316,0.94774,1.25705,0.7363,0.77921,0.81664,0.54673,1.15219,0.97333,1.46185,0.000990365,0.000990365,0.000990365
43,178.117,1.01436,0.89747,1.27335,0.92329,0.73689,0.86605,0.58279,1.09774,0.83681,1.43069,0.000973861,0.000973861,0.000973861
44,182.188,1.02705,0.91844,1.29167,0.84713,0.80413,0.84845,0.54916,1.16724,0.88108,1.51381,0.000957358,0.000957358,0.000957358
45,186.211,1.01572,0.88601,1.28209,0.91714,0.7618,0.86382,0.58548,1.15078,0.9276,1.47912,0.000940855,0.000940855,0.000940855
46,191.592,1.05413,0.86722,1.28218,0.83235,0.7339,0.85052,0.57787,1.13051,0.91663,1.44174,0.000924352,0.000924352,0.000924352
47,195.712,1.0312,0.87201,1.267,0.92554,0.77095,0.86435,0.57995,1.08584,0.83088,1.40463,0.000907848,0.000907848,0.000907848
48,199.089,0.97612,0.8175,1.22055,0.84504,0.80738,0.86467,0.57953,1.09826,0.84158,1.42488,0.000891345,0.000891345,0.000891345
49,201.948,1.01184,0.8506,1.22434,0.76966,0.86037,0.87813,0.57812,1.12474,0.82777,1.44434,0.000874842,0.000874842,0.000874842
50,205.6,0.97476,0.81651,1.23104,0.8265,0.82749,0.88046,0.58734,1.05589,0.79849,1.37158,0.000858338,0.000858338,0.000858338
51,210.74,0.96647,0.88204,1.24666,0.93982,0.82466,0.88045,0.5949,1.12867,0.75747,1.4458,0.000841835,0.000841835,0.000841835
52,215.566,0.90458,0.79243,1.18768,0.89737,0.77923,0.88091,0.61408,1.08348,0.72214,1.4256,0.000825332,0.000825332,0.000825332
53,219.594,0.92864,0.84561,1.22224,0.88705,0.78451,0.87573,0.59983,1.11005,0.7948,1.46712,0.000808828,0.000808828,0.000808828
54,222.637,0.95016,0.79278,1.21798,0.90309,0.85597,0.8899,0.60887,1.08682,0.72591,1.42788,0.000792325,0.000792325,0.000792325
55,225.952,0.93628,0.78007,1.20685,0.85037,0.8152,0.86445,0.60728,1.07152,0.76658,1.41944,0.000775822,0.000775822,0.000775822
56,229.843,0.92271,0.80901,1.25063,0.91479,0.85775,0.8913,0.61918,1.04628,0.69551,1.3813,0.000759318,0.000759318,0.000759318
57,234.83,0.90005,0.78063,1.19886,0.88579,0.76745,0.85701,0.59562,1.04477,0.76768,1.40737,0.000742815,0.000742815,0.000742815
58,238.709,0.9033,0.7589,1.19537,0.82583,0.77936,0.82638,0.57393,1.03499,0.80935,1.35856,0.000726312,0.000726312,0.000726312
59,242.337,0.94002,0.78204,1.1957,0.95037,0.79885,0.87907,0.59875,1.03691,0.75003,1.37885,0.000709809,0.000709809,0.000709809
60,245.353,0.91657,0.75258,1.19215,0.86263,0.82018,0.88392,0.57623,1.12369,0.78162,1.45448,0.000693305,0.000693305,0.000693305
61,248.897,0.89725,0.70481,1.17268,0.94829,0.84455,0.89336,0.61277,1.05365,0.74951,1.36805,0.000676802,0.000676802,0.000676802
62,252.486,0.91674,0.71451,1.21844,0.95464,0.82683,0.91455,0.6106,1.02281,0.7127,1.34559,0.000660299,0.000660299,0.000660299
63,256.819,0.86005,0.70047,1.15952,0.93678,0.79038,0.89823,0.61356,1.05216,0.68997,1.36681,0.000643795,0.000643795,0.000643795
64,260.221,0.903,0.70875,1.17208,0.89686,0.83241,0.88336,0.62251,1.03015,0.69471,1.3566,0.000627292,0.000627292,0.000627292
65,263.343,0.86201,0.71198,1.18733,0.8784,0.82878,0.88571,0.61469,1.08963,0.73608,1.4123,0.000610789,0.000610789,0.000610789
66,266.781,0.87852,0.7078,1.17803,0.94108,0.81946,0.89966,0.6136,1.06752,0.69657,1.38854,0.000594286,0.000594286,0.000594286
67,271.768,0.9071,0.70783,1.17228,0.91686,0.81918,0.8938,0.63269,1.02646,0.67848,1.35468,0.000577782,0.000577782,0.000577782
68,276.152,0.84565,0.67025,1.1567,0.84417,0.85058,0.8853,0.61118,1.03115,0.6904,1.39375,0.000561279,0.000561279,0.000561279
69,279.759,0.81949,0.64744,1.16914,0.90982,0.8505,0.89112,0.60682,1.07424,0.68044,1.43369,0.000544776,0.000544776,0.000544776
70,282.77,0.83204,0.6618,1.16447,0.96033,0.79696,0.88377,0.61648,1.04025,0.67479,1.39919,0.000528272,0.000528272,0.000528272
71,286.016,0.80391,0.66701,1.14937,0.88143,0.82706,0.87602,0.61366,0.99932,0.66846,1.36996,0.000511769,0.000511769,0.000511769
72,289.905,0.86366,0.65872,1.1703,0.93072,0.81889,0.88518,0.62782,0.98284,0.64352,1.33221,0.000495266,0.000495266,0.000495266
73,295.001,0.83921,0.65202,1.16317,0.91971,0.85157,0.8932,0.62925,1.02876,0.64836,1.37493,0.000478762,0.000478762,0.000478762
74,299.63,0.80326,0.65428,1.12308,0.92275,0.8758,0.90261,0.62951,1.00576,0.62508,1.35649,0.000462259,0.000462259,0.000462259
75,303.057,0.78779,0.63321,1.12848,0.96908,0.86867,0.90971,0.62672,1.03944,0.64154,1.39276,0.000445756,0.000445756,0.000445756
76,306.166,0.81631,0.62657,1.13573,0.9356,0.85803,0.88737,0.61388,1.03312,0.64803,1.42399,0.000429253,0.000429253,0.000429253
77,309.153,0.78465,0.60571,1.10952,0.93292,0.87297,0.89457,0.64215,0.9998,0.63381,1.36522,0.000412749,0.000412749,0.000412749
78,314.083,0.80607,0.66691,1.14764,0.91579,0.87297,0.8942,0.63791,1.00129,0.63805,1.34982,0.000396246,0.000396246,0.000396246
79,319.304,0.80119,0.63154,1.15586,0.91157,0.86629,0.90586,0.62825,0.99922,0.64287,1.35052,0.000379743,0.000379743,0.000379743
80,323.427,0.80059,0.62182,1.12832,0.88286,0.84953,0.89756,0.62248,1.00212,0.66806,1.34774,0.000363239,0.000363239,0.000363239
81,326.551,0.7848,0.61835,1.11186,0.84266,0.88547,0.89989,0.62494,0.99332,0.65203,1.33759,0.000346736,0.000346736,0.000346736
82,329.751,0.73406,0.58848,1.09667,0.86162,0.85326,0.88387,0.62456,0.98854,0.66595,1.36149,0.000330233,0.000330233,0.000330233
83,332.917,0.76103,0.59072,1.12833,0.86041,0.87748,0.89889,0.64547,0.97836,0.6506,1.35972,0.000313729,0.000313729,0.000313729
84,338.202,0.76222,0.58654,1.13279,0.86946,0.85698,0.8923,0.64331,1.00218,0.6423,1.35896,0.000297226,0.000297226,0.000297226
85,343.362,0.73848,0.58609,1.11708,0.95854,0.84087,0.89484,0.64714,0.9822,0.61198,1.32515,0.000280723,0.000280723,0.000280723
86,348.115,0.74715,0.551,1.11528,0.9644,0.84162,0.89732,0.65969,0.98877,0.60708,1.34031,0.00026422,0.00026422,0.00026422
87,351.01,0.73685,0.57726,1.11914,0.95364,0.84975,0.89946,0.64308,1.0036,0.6163,1.37861,0.000247716,0.000247716,0.000247716
88,354.184,0.72494,0.56378,1.11589,0.94618,0.83097,0.90222,0.64431,0.99307,0.60859,1.372,0.000231213,0.000231213,0.000231213
89,357.709,0.75007,0.57069,1.11346,0.97384,0.829,0.89167,0.64161,0.99783,0.5906,1.3541,0.00021471,0.00021471,0.00021471
90,362.365,0.70493,0.54898,1.09533,0.96912,0.82709,0.88991,0.6328,0.99777,0.59933,1.33838,0.000198206,0.000198206,0.000198206
91,369.07,0.57498,0.50014,1.01297,0.92818,0.86149,0.89095,0.63168,0.99505,0.61744,1.34793,0.000181703,0.000181703,0.000181703
92,372.206,0.56458,0.467,1.00206,0.94115,0.85248,0.8859,0.63232,1.01026,0.62288,1.35662,0.0001652,0.0001652,0.0001652
93,375.092,0.58015,0.44585,1.01492,0.9333,0.85653,0.8863,0.62611,1.03146,0.61419,1.38357,0.000148696,0.000148696,0.000148696
94,378.285,0.51612,0.40964,0.97743,0.94462,0.85698,0.88925,0.6327,1.00265,0.59557,1.3643,0.000132193,0.000132193,0.000132193
95,382.404,0.53746,0.40965,0.9974,0.97183,0.83972,0.89223,0.63706,0.99254,0.58956,1.35162,0.00011569,0.00011569,0.00011569
96,386.782,0.52304,0.40627,1.00494,0.97195,0.83998,0.89313,0.64279,0.97944,0.58841,1.34757,9.91865e-05,9.91865e-05,9.91865e-05
97,391.289,0.52551,0.40652,0.96926,0.97239,0.83998,0.89558,0.64909,0.96813,0.57477,1.34831,8.26832e-05,8.26832e-05,8.26832e-05
98,394.218,0.53225,0.4059,0.98416,0.97261,0.83998,0.8987,0.64694,0.96545,0.57118,1.34666,6.61799e-05,6.61799e-05,6.61799e-05
99,397.315,0.52392,0.4156,1.0119,0.97509,0.83998,0.90106,0.65565,0.9592,0.56589,1.34127,4.96766e-05,4.96766e-05,4.96766e-05
100,400.303,0.49972,0.38995,0.9777,0.97873,0.83998,0.90187,0.65627,0.96034,0.56219,1.33706,3.31733e-05,3.31733e-05,3.31733e-05
