epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.98265,1.13436,2.93379,1.3858,0.00358,0.94681,0.62124,0.37206,0.93423,2.84421,1.31161,0.00051677,0.00051677,0.00051677
2,16.6914,1.27535,2.21626,1.52161,0.64763,0.34926,0.46665,0.25314,1.33964,2.50417,1.92696,0.00103981,0.00103981,0.00103981
3,24.262,1.44851,2.22988,1.60929,0.61736,0.50476,0.54218,0.29263,1.46017,2.17737,1.91052,0.00155229,0.00155229,0.00155229
4,31.5665,1.43858,2.10227,1.63463,0.36855,0.63732,0.3876,0.19147,1.616,2.71946,2.09517,0.00161749,0.00161749,0.00161749
5,38.4108,1.46818,2.21563,1.65229,0.52955,0.52954,0.54974,0.26837,1.64675,2.67683,2.12902,0.00160099,0.00160099,0.00160099
6,45.4014,1.38528,1.947,1.5538,0.44863,0.6131,0.46341,0.22388,1.9251,2.79576,2.31593,0.00158448,0.00158448,0.00158448
7,52.5036,1.44954,1.91487,1.60109,0.33483,0.38522,0.37368,0.18807,1.56106,2.99438,1.9561,0.00156798,0.00156798,0.00156798
8,59.1757,1.39988,1.80057,1.56706,0.50154,0.6075,0.544,0.30753,1.58552,2.1772,1.8867,0.00155148,0.00155148,0.00155148
9,65.796,1.45144,1.8013,1.5948,0.61012,0.63242,0.66669,0.35945,1.52377,1.89718,1.87289,0.00153497,0.00153497,0.00153497
10,73.0068,1.41398,1.77169,1.57131,0.375,0.43281,0.38833,0.20363,1.78454,2.1836,1.99768,0.00151847,0.00151847,0.00151847
11,80.3319,1.36733,1.63926,1.51783,0.492,0.56453,0.5364,0.28452,1.47958,2.22938,1.75782,0.00150197,0.00150197,0.00150197
12,87.4387,1.40521,1.63488,1.53244,0.84201,0.65963,0.77579,0.4711,1.32856,1.65121,1.69547,0.00148546,0.00148546,0.00148546
13,94.4041,1.32809,1.51549,1.48062,0.72817,0.60904,0.66367,0.33316,1.64242,1.6379,2.00118,0.00146896,0.00146896,0.00146896
14,101.586,1.28921,1.41033,1.46219,0.56436,0.41055,0.43105,0.22298,1.87063,2.62506,2.46957,0.00145246,0.00145246,0.00145246
15,108.507,1.36022,1.52359,1.54938,0.79171,0.73379,0.84786,0.50053,1.33351,1.38008,1.71628,0.00143595,0.00143595,0.00143595
16,115.557,1.34361,1.45645,1.55297,0.7404,0.82223,0.80296,0.47226,1.23534,1.29065,1.63176,0.00141945,0.00141945,0.00141945
17,122.694,1.24573,1.36445,1.45719,0.81682,0.74272,0.84204,0.51741,1.27863,1.24093,1.63315,0.00140295,0.00140295,0.00140295
18,130.075,1.24517,1.28161,1.42456,0.77175,0.75238,0.79975,0.49782,1.28901,1.46731,1.57466,0.00138644,0.00138644,0.00138644
19,137.004,1.20049,1.25303,1.35653,0.87352,0.73179,0.86224,0.54434,1.21185,1.2278,1.55022,0.00136994,0.00136994,0.00136994
20,143.422,1.15608,1.24987,1.40414,0.75378,0.724,0.77272,0.40129,1.56381,1.30949,2.09873,0.00135344,0.00135344,0.00135344
21,150.564,1.20113,1.25079,1.41646,0.73341,0.70633,0.74523,0.45399,1.29719,1.2112,1.63632,0.00133693,0.00133693,0.00133693
22,157.666,1.27819,1.24219,1.45832,0.71383,0.8234,0.77803,0.49625,1.173,1.14062,1.51931,0.00132043,0.00132043,0.00132043
23,164.852,1.23531,1.22999,1.47509,0.73545,0.75421,0.80051,0.49141,1.35782,1.21954,1.70371,0.00130393,0.00130393,0.00130393
24,171.908,1.2067,1.19973,1.4246,0.87419,0.82783,0.86931,0.55973,1.2647,1.09834,1.5553,0.00128742,0.00128742,0.00128742
25,179.07,1.19967,1.12952,1.39562,0.81251,0.82377,0.86733,0.50764,1.36522,1.15617,1.66772,0.00127092,0.00127092,0.00127092
26,185.867,1.18408,1.10985,1.39718,0.92552,0.78004,0.89889,0.58422,1.20627,0.93474,1.53058,0.00125442,0.00125442,0.00125442
27,193.163,1.11994,1.08295,1.36905,0.88941,0.77193,0.87884,0.59872,1.10965,0.98113,1.48281,0.00123791,0.00123791,0.00123791
28,200.314,1.12299,1.06472,1.34759,0.86933,0.75896,0.87245,0.60662,1.13983,1.07577,1.52348,0.00122141,0.00122141,0.00122141
29,207.315,1.15915,1.09715,1.36591,0.83099,0.69163,0.82177,0.55003,1.22023,1.11765,1.63037,0.00120491,0.00120491,0.00120491
30,214.464,1.17614,1.14308,1.39531,0.78972,0.74482,0.81218,0.52836,1.25617,1.09103,1.67174,0.0011884,0.0011884,0.0011884
31,221.509,1.1072,1.04914,1.31828,0.81098,0.78344,0.86442,0.57295,1.17069,0.98421,1.49443,0.0011719,0.0011719,0.0011719
32,228.195,1.06743,1.01536,1.31773,0.86926,0.82049,0.88431,0.61647,1.20801,0.91102,1.66104,0.0011554,0.0011554,0.0011554
33,235.094,1.12444,1.01981,1.33175,0.85499,0.71697,0.83771,0.52341,1.41123,1.02763,1.70884,0.00113889,0.00113889,0.00113889
34,241.568,1.11147,1.02716,1.31262,0.94317,0.78745,0.90599,0.61805,1.19204,0.87099,1.55992,0.00112239,0.00112239,0.00112239
35,248.692,1.05439,0.98634,1.31889,0.87097,0.8582,0.91531,0.6155,1.25465,0.83586,1.5798,0.00110589,0.00110589,0.00110589
36,255.354,1.05947,0.95154,1.3187,0.8485,0.85411,0.92781,0.6016,1.27562,0.99852,1.69801,0.00108938,0.00108938,0.00108938
37,262.063,1.07172,0.93234,1.2973,0.86918,0.7432,0.83762,0.51343,1.38105,1.22025,1.8715,0.00107288,0.00107288,0.00107288
38,268.396,1.14776,0.98914,1.3589,0.86561,0.78286,0.86713,0.55988,1.28895,0.93558,1.64443,0.00105638,0.00105638,0.00105638
39,275.349,1.02182,0.92432,1.26225,0.90324,0.83568,0.89824,0.62889,1.02198,0.86358,1.39301,0.00103987,0.00103987,0.00103987
40,282.602,1.03632,0.90664,1.30929,0.90737,0.82629,0.91326,0.62901,1.07269,0.82889,1.41157,0.00102337,0.00102337,0.00102337
41,289.832,0.99375,0.89833,1.26499,0.91092,0.81411,0.89889,0.59904,1.22954,0.81507,1.61242,0.00100687,0.00100687,0.00100687
42,296.92,1.02718,0.91276,1.30399,0.8959,0.79632,0.92178,0.60399,1.21611,0.77023,1.57097,0.000990365,0.000990365,0.000990365
43,304.093,1.04112,0.88328,1.27759,0.92341,0.84785,0.92973,0.62846,1.11576,0.75359,1.45885,0.000973861,0.000973861,0.000973861
44,310.849,1.0107,0.86226,1.27664,0.9396,0.82223,0.93112,0.60939,1.16899,0.82884,1.4974,0.000957358,0.000957358,0.000957358
45,317.186,1.02952,0.87092,1.30222,0.91799,0.89516,0.9381,0.63108,1.1815,0.84411,1.49563,0.000940855,0.000940855,0.000940855
46,324.109,0.98775,0.84015,1.24916,0.89886,0.81101,0.91954,0.60315,1.16842,0.96641,1.44108,0.000924352,0.000924352,0.000924352
47,330.927,0.93808,0.81336,1.2283,0.90403,0.79647,0.91286,0.63402,1.03376,0.80737,1.3484,0.000907848,0.000907848,0.000907848
48,337.712,1.00914,0.81162,1.28326,0.93829,0.90749,0.95384,0.65637,1.06726,0.6868,1.38362,0.000891345,0.000891345,0.000891345
49,344.686,0.98837,0.84417,1.26352,0.90044,0.89818,0.93599,0.6438,1.20613,0.72826,1.49072,0.000874842,0.000874842,0.000874842
50,351.236,0.97183,0.82575,1.23474,0.8746,0.85824,0.92182,0.61119,1.14729,0.79575,1.46417,0.000858338,0.000858338,0.000858338
51,358.339,0.96923,0.81659,1.24383,0.92678,0.88606,0.93418,0.63583,1.12808,0.7416,1.46608,0.000841835,0.000841835,0.000841835
52,365.581,0.95545,0.78733,1.23591,0.95916,0.84907,0.94727,0.67014,1.07642,0.68898,1.39862,0.000825332,0.000825332,0.000825332
53,372.761,0.94842,0.77261,1.22386,0.88391,0.83273,0.93003,0.65948,1.01258,0.73179,1.34517,0.000808828,0.000808828,0.000808828
54,380.264,0.93217,0.77369,1.20397,0.94253,0.89922,0.94875,0.64862,1.04381,0.67068,1.35769,0.000792325,0.000792325,0.000792325
55,387.395,0.96809,0.78765,1.22208,0.93596,0.8764,0.93611,0.66295,1.10922,0.68633,1.38706,0.000775822,0.000775822,0.000775822
56,394.752,0.89851,0.71531,1.17955,0.86788,0.82321,0.911,0.62801,1.12136,0.76403,1.40288,0.000759318,0.000759318,0.000759318
57,402.243,0.96958,0.7567,1.25205,0.89786,0.9058,0.93949,0.68192,1.06404,0.69253,1.39118,0.000742815,0.000742815,0.000742815
58,409.297,0.93221,0.76218,1.22958,0.95816,0.9058,0.9401,0.66242,1.08535,0.67746,1.43999,0.000726312,0.000726312,0.000726312
59,416.448,0.89443,0.8252,1.20486,0.97101,0.84691,0.93564,0.65132,1.08354,0.68352,1.45699,0.000709809,0.000709809,0.000709809
60,423.274,0.86989,0.68671,1.18542,0.90029,0.86485,0.92332,0.6478,1.0764,0.7461,1.38463,0.000693305,0.000693305,0.000693305
61,430.453,0.88708,0.72456,1.1873,0.89115,0.92455,0.94842,0.64556,1.03593,0.75637,1.36049,0.000676802,0.000676802,0.000676802
62,437.792,0.91447,0.70171,1.20209,0.95749,0.92525,0.96124,0.68925,0.98962,0.64984,1.34699,0.000660299,0.000660299,0.000660299
63,445.415,0.88633,0.69021,1.20696,0.90929,0.91036,0.95047,0.66417,1.07585,0.69927,1.42451,0.000643795,0.000643795,0.000643795
64,452.754,0.84926,0.68722,1.15715,0.9091,0.89712,0.92986,0.65095,1.00663,0.66632,1.37588,0.000627292,0.000627292,0.000627292
65,459.381,0.83581,0.69558,1.15865,0.94089,0.93021,0.95141,0.67377,1.00148,0.61411,1.33625,0.000610789,0.000610789,0.000610789
66,467.078,0.8538,0.68481,1.17417,0.93705,0.88551,0.95127,0.67686,1.04757,0.64784,1.3599,0.000594286,0.000594286,0.000594286
67,474.506,0.83463,0.65144,1.1827,0.95973,0.89073,0.94812,0.67295,1.07273,0.61254,1.38485,0.000577782,0.000577782,0.000577782
68,481.937,0.84959,0.69705,1.17844,0.94963,0.8582,0.95808,0.67596,1.00166,0.63837,1.35231,0.000561279,0.000561279,0.000561279
69,489.712,0.89367,0.73305,1.2017,0.93387,0.90733,0.96203,0.6497,1.06239,0.63984,1.39588,0.000544776,0.000544776,0.000544776
70,497.356,0.83551,0.64385,1.16611,0.93877,0.9185,0.96191,0.65032,1.00686,0.64123,1.32331,0.000528272,0.000528272,0.000528272
71,505.353,0.74368,0.60079,1.0929,0.91642,0.87955,0.94313,0.64066,1.04587,0.68439,1.36113,0.000511769,0.000511769,0.000511769
72,513.45,0.83953,0.64357,1.16705,0.89033,0.92301,0.95903,0.66255,1.00038,0.60776,1.32121,0.000495266,0.000495266,0.000495266
73,521.299,0.85144,0.62929,1.16109,0.95459,0.93111,0.96113,0.68515,1.02841,0.60213,1.32968,0.000478762,0.000478762,0.000478762
74,529.351,0.80669,0.61257,1.13691,0.94432,0.9257,0.95633,0.68676,1.08696,0.59288,1.39224,0.000462259,0.000462259,0.000462259
75,536.696,0.77915,0.59527,1.13799,0.97324,0.92781,0.96447,0.69458,1.04183,0.56115,1.36781,0.000445756,0.000445756,0.000445756
