epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3938,1.17329,2.93531,1.44141,0.92775,0.10386,0.35447,0.20443,1.0682,2.88909,1.41307,0.000466612,0.000466612,0.000466612
2,34.8438,1.29613,2.4418,1.53841,0.32677,0.39086,0.38691,0.2235,1.3157,2.421,1.74604,0.00093361,0.00093361,0.00093361
3,43.0382,1.37324,2.33233,1.58818,0.46391,0.45263,0.43314,0.2248,1.43219,2.48086,2.11408,0.00139118,0.00139118,0.00139118
4,51.3785,1.37531,2.23427,1.57695,0.37113,0.47669,0.3383,0.16943,1.6005,2.34272,2.12538,0.00138656,0.00138656,0.00138656
5,59.8317,1.35712,2.09238,1.57232,0.43692,0.40517,0.35675,0.16717,1.62688,2.34208,1.99472,0.00137241,0.00137241,0.00137241
6,68.1782,1.40603,2.02192,1.59045,0.4049,0.35339,0.3336,0.18212,1.82035,2.41632,2.03341,0.00135826,0.00135826,0.00135826
7,76.6656,1.37277,1.91824,1.54881,0.38371,0.38261,0.33994,0.18889,1.53038,3.0386,1.90228,0.00134412,0.00134412,0.00134412
8,84.695,1.35084,1.8806,1.54986,0.77819,0.43487,0.546,0.31849,1.37258,1.87439,1.68684,0.00132997,0.00132997,0.00132997
9,93.1021,1.37527,1.93896,1.55833,0.56429,0.51189,0.52031,0.30235,1.44436,2.05444,1.719,0.00131582,0.00131582,0.00131582
10,101.4,1.36799,1.81315,1.551,0.66127,0.47452,0.5086,0.25807,1.66515,1.9709,1.93614,0.00130168,0.00130168,0.00130168
11,109.643,1.29574,1.71573,1.48963,0.50125,0.56994,0.55353,0.33311,1.41254,1.7983,1.77606,0.00128753,0.00128753,0.00128753
12,117.836,1.32224,1.64863,1.50249,0.6753,0.64769,0.66299,0.37564,1.49252,1.56587,1.79408,0.00127338,0.00127338,0.00127338
13,126.016,1.2937,1.59554,1.4821,0.65386,0.56561,0.59477,0.35981,1.4228,1.55149,1.8004,0.00125923,0.00125923,0.00125923
14,134.067,1.2513,1.57078,1.46131,0.75766,0.53768,0.59868,0.37759,1.30612,1.66691,1.67448,0.00124509,0.00124509,0.00124509
15,142.206,1.30317,1.57928,1.49267,0.56315,0.62787,0.59651,0.31881,1.43173,1.64553,1.73102,0.00123094,0.00123094,0.00123094
16,150.408,1.27785,1.53089,1.48284,0.73231,0.60239,0.63861,0.3714,1.48766,1.47324,1.8382,0.00121679,0.00121679,0.00121679
17,158.508,1.22592,1.48105,1.43364,0.77786,0.56443,0.65145,0.39861,1.30398,1.48908,1.57512,0.00120265,0.00120265,0.00120265
18,166.74,1.20604,1.50526,1.43027,0.72649,0.55369,0.6317,0.3903,1.29759,1.663,1.65541,0.0011885,0.0011885,0.0011885
19,174.491,1.22705,1.44034,1.44493,0.62087,0.5844,0.61226,0.33492,1.39524,1.82581,1.7456,0.00117435,0.00117435,0.00117435
20,182.382,1.20116,1.42949,1.404,0.74233,0.60982,0.6188,0.37282,1.27417,1.53043,1.62575,0.00116021,0.00116021,0.00116021
21,190.402,1.15898,1.31793,1.39698,0.72905,0.6159,0.6603,0.41652,1.30225,1.31306,1.67492,0.00114606,0.00114606,0.00114606
22,198.658,1.18209,1.32828,1.39209,0.71704,0.47265,0.57089,0.34361,1.31856,1.74902,1.68315,0.00113191,0.00113191,0.00113191
23,206.62,1.15535,1.3445,1.39289,0.76199,0.599,0.64287,0.40667,1.26862,1.18602,1.58305,0.00111776,0.00111776,0.00111776
24,215.009,1.19443,1.34325,1.40612,0.74674,0.64152,0.68606,0.43508,1.31384,1.31226,1.61593,0.00110362,0.00110362,0.00110362
25,223.054,1.16366,1.2792,1.37752,0.68099,0.59994,0.62958,0.38282,1.30952,1.34836,1.68561,0.00108947,0.00108947,0.00108947
26,231.235,1.11977,1.18681,1.36536,0.6671,0.68263,0.71182,0.43314,1.23187,1.17346,1.51352,0.00107532,0.00107532,0.00107532
27,239.347,1.12748,1.16212,1.34719,0.67581,0.58329,0.62032,0.40705,1.2334,1.29873,1.59625,0.00106118,0.00106118,0.00106118
28,247.601,1.10612,1.22046,1.35731,0.79805,0.52714,0.61407,0.38806,1.29645,1.35043,1.66689,0.00104703,0.00104703,0.00104703
29,255.654,1.14356,1.20015,1.3704,0.69358,0.60441,0.64927,0.40374,1.27084,1.36487,1.66159,0.00103288,0.00103288,0.00103288
30,263.444,1.065,1.14001,1.326,0.69682,0.62774,0.66174,0.43031,1.24074,1.29474,1.59427,0.00101873,0.00101873,0.00101873
31,271.632,1.07462,1.09477,1.32903,0.61189,0.60142,0.57331,0.36363,1.24051,1.32534,1.57811,0.00100459,0.00100459,0.00100459
32,279.908,1.07812,1.06319,1.32036,0.75808,0.67566,0.69965,0.42854,1.22458,1.26803,1.49934,0.00099044,0.00099044,0.00099044
33,288.159,1.02433,1.08676,1.29399,0.81794,0.6954,0.73591,0.44727,1.37721,1.25944,1.68318,0.000976293,0.000976293,0.000976293
34,296.469,1.1018,1.12223,1.32993,0.66429,0.54696,0.58083,0.36697,1.30803,1.58353,1.68797,0.000962146,0.000962146,0.000962146
35,304.784,1.08308,1.1041,1.293,0.86852,0.65837,0.72655,0.48728,1.16562,1.15237,1.47738,0.000947999,0.000947999,0.000947999
36,313.1,1.03844,1.07411,1.28291,0.7329,0.7092,0.71952,0.4789,1.17843,1.24368,1.49896,0.000933851,0.000933851,0.000933851
37,320.878,0.99593,1.00716,1.2655,0.79376,0.65262,0.68893,0.46432,1.20411,1.18781,1.52736,0.000919704,0.000919704,0.000919704
38,329.199,1.05956,1.0335,1.32893,0.72049,0.66667,0.67422,0.44681,1.11675,1.38881,1.44977,0.000905557,0.000905557,0.000905557
39,336.031,1.03041,1.0565,1.29518,0.83521,0.59608,0.68089,0.43207,1.13793,1.38924,1.39872,0.00089141,0.00089141,0.00089141
40,341.606,1.01287,1.00919,1.28658,0.83314,0.5906,0.67237,0.44504,1.1869,1.52982,1.46784,0.000877263,0.000877263,0.000877263
41,349.782,1.01266,0.98458,1.27867,0.78255,0.67465,0.72352,0.50232,1.1057,1.35142,1.41466,0.000863116,0.000863116,0.000863116
42,358.199,0.99822,0.9754,1.28122,0.8569,0.62755,0.70679,0.49205,1.09976,0.98562,1.44159,0.000848969,0.000848969,0.000848969
43,366.724,0.9774,0.95253,1.26121,0.81401,0.68211,0.71895,0.49383,1.10202,1.09737,1.44768,0.000834822,0.000834822,0.000834822
44,374.904,0.9509,0.89628,1.22764,0.83231,0.65484,0.7056,0.46647,1.10463,0.99414,1.39759,0.000820675,0.000820675,0.000820675
45,382.901,0.98482,0.93079,1.26282,0.82701,0.64937,0.70289,0.4864,1.16241,1.03336,1.48304,0.000806528,0.000806528,0.000806528
46,391.18,0.96364,0.93022,1.25626,0.73832,0.65105,0.69203,0.46599,1.21559,1.70618,1.61335,0.00079238,0.00079238,0.00079238
47,398.761,0.95243,0.86703,1.23955,0.76758,0.69317,0.73443,0.48643,1.13673,0.99699,1.50221,0.000778233,0.000778233,0.000778233
48,406.8,0.93438,0.89167,1.23917,0.83825,0.65166,0.71634,0.45474,1.21807,1.06168,1.63327,0.000764086,0.000764086,0.000764086
49,414.696,0.97486,0.91673,1.25558,0.86936,0.67593,0.73053,0.49379,1.13999,1.37065,1.44844,0.000749939,0.000749939,0.000749939
50,421.484,0.90487,0.82909,1.2269,0.7011,0.70355,0.7196,0.49311,1.11189,1.58156,1.41941,0.000735792,0.000735792,0.000735792
51,429.918,0.94366,0.84904,1.24072,0.83062,0.61491,0.69024,0.46516,1.14171,1.70612,1.47038,0.000721645,0.000721645,0.000721645
52,438.091,0.9149,0.85427,1.22644,0.90114,0.65154,0.73205,0.48283,1.10538,1.21576,1.393,0.000707498,0.000707498,0.000707498
53,446.181,0.93501,0.90345,1.23283,0.80911,0.69093,0.72976,0.47779,1.11686,1.58432,1.41401,0.000693351,0.000693351,0.000693351
54,454.047,0.94603,0.85854,1.22293,0.82007,0.69668,0.73773,0.49897,1.08165,1.47448,1.35536,0.000679204,0.000679204,0.000679204
55,462.262,0.91799,0.86768,1.22642,0.81766,0.68742,0.74639,0.49706,1.0706,1.27233,1.35482,0.000665057,0.000665057,0.000665057
56,470.362,0.89407,0.80033,1.2099,0.84921,0.66912,0.74565,0.51406,1.13604,1.19871,1.48021,0.000650909,0.000650909,0.000650909
57,478.65,0.9035,0.81509,1.19297,0.86863,0.67598,0.7422,0.5023,1.10744,1.28963,1.39445,0.000636762,0.000636762,0.000636762
58,486.855,0.87408,0.76245,1.20534,0.85002,0.65977,0.73432,0.49536,1.06459,1.38304,1.31414,0.000622615,0.000622615,0.000622615
59,495.028,0.91859,0.79238,1.2241,0.78458,0.71392,0.73961,0.48759,1.15887,1.52412,1.51858,0.000608468,0.000608468,0.000608468
60,503.202,0.90409,0.80537,1.20663,0.83688,0.7078,0.7495,0.51175,1.18782,1.49582,1.57463,0.000594321,0.000594321,0.000594321
61,510.942,0.87903,0.77082,1.18436,0.84897,0.7124,0.75222,0.50949,1.11938,1.47159,1.52231,0.000580174,0.000580174,0.000580174
62,519.206,0.87422,0.75058,1.17879,0.8504,0.71141,0.75445,0.49548,1.14192,1.50579,1.47224,0.000566027,0.000566027,0.000566027
63,527.222,0.82344,0.75508,1.16196,0.81165,0.7333,0.77304,0.50042,1.11334,1.24575,1.44169,0.00055188,0.00055188,0.00055188
64,535.793,0.82406,0.72135,1.14507,0.7659,0.69668,0.73117,0.51551,1.12085,1.12349,1.45109,0.000537733,0.000537733,0.000537733
65,543.134,0.81607,0.71428,1.1539,0.79423,0.69446,0.74517,0.50739,1.15899,1.42938,1.47641,0.000523586,0.000523586,0.000523586
66,551.391,0.8668,0.74482,1.18766,0.87055,0.72661,0.75564,0.51949,1.13121,1.01834,1.41268,0.000509438,0.000509438,0.000509438
67,557.704,0.83368,0.68962,1.15322,0.89736,0.69723,0.77059,0.52616,1.10462,0.8845,1.40679,0.000495291,0.000495291,0.000495291
68,564.146,0.82558,0.72984,1.16826,0.84639,0.73145,0.7661,0.52418,1.14561,0.93257,1.49946,0.000481144,0.000481144,0.000481144
69,572.626,0.79662,0.72477,1.14359,0.86541,0.68204,0.75251,0.51283,1.16928,1.02909,1.51189,0.000466997,0.000466997,0.000466997
70,580.43,0.82228,0.70627,1.16821,0.89189,0.7197,0.75952,0.52326,1.1558,0.94699,1.55887,0.00045285,0.00045285,0.00045285
71,588.066,0.82259,0.69926,1.14969,0.90094,0.72765,0.75815,0.55112,1.14758,0.90535,1.52144,0.000438703,0.000438703,0.000438703
72,594.748,0.83059,0.689,1.16568,0.86613,0.73663,0.76755,0.55427,1.07804,0.89604,1.40808,0.000424556,0.000424556,0.000424556
73,603.005,0.79858,0.68175,1.14849,0.86066,0.68704,0.75507,0.53831,1.07162,1.31669,1.36943,0.000410409,0.000410409,0.000410409
74,611.286,0.76753,0.68413,1.1247,0.80395,0.72033,0.75541,0.54476,1.13553,0.89732,1.50549,0.000396262,0.000396262,0.000396262
75,619.692,0.79518,0.66721,1.13588,0.81827,0.69935,0.76807,0.54532,1.13503,1.50263,1.49548,0.000382115,0.000382115,0.000382115
76,627.803,0.79732,0.68494,1.14005,0.87443,0.70649,0.77945,0.54115,1.14607,1.38642,1.54185,0.000367967,0.000367967,0.000367967
