epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8282,1.16336,2.92265,1.44503,0.00383,0.91244,0.58868,0.34988,1.15999,2.74604,1.51916,0.000540231,0.000540231,0.000540231
2,35.5602,1.28844,2.17914,1.51798,0.21339,0.17894,0.11107,0.05301,2.11356,3.21197,3.16688,0.00109047,0.00109047,0.00109047
3,42.4936,1.43614,2.15544,1.63827,0.43864,0.57965,0.41641,0.20091,1.63705,2.71743,2.32289,0.00163521,0.00163521,0.00163521
4,49.1116,1.44085,2.07864,1.66786,0.56184,0.62657,0.58105,0.31014,1.41409,2.09376,1.89044,0.00164225,0.00164225,0.00164225
5,56.0758,1.40446,1.92721,1.5843,0.5281,0.30727,0.35227,0.18679,1.74726,2.60808,2.34814,0.00163399,0.00163399,0.00163399
6,62.9313,1.41746,1.87632,1.62159,0.65435,0.32024,0.46482,0.23535,1.56137,2.72755,1.99207,0.00162574,0.00162574,0.00162574
7,69.536,1.39455,1.7417,1.56834,0.69407,0.50266,0.58167,0.31992,1.53388,2.23398,1.86136,0.00161749,0.00161749,0.00161749
8,76.223,1.39034,1.64987,1.56841,0.50935,0.55046,0.55444,0.3109,1.46249,2.51873,1.79306,0.00160924,0.00160924,0.00160924
9,82.4628,1.38948,1.6882,1.54388,0.41959,0.55428,0.4643,0.23567,1.59724,2.65265,1.84857,0.00160099,0.00160099,0.00160099
10,87.8704,1.40708,1.73352,1.56254,0.5241,0.52182,0.52683,0.27759,1.71936,2.18272,2.00438,0.00159274,0.00159274,0.00159274
11,93.2738,1.33438,1.59315,1.52847,0.63678,0.51991,0.58603,0.32909,1.48847,1.85206,1.80521,0.00158448,0.00158448,0.00158448
12,98.7946,1.32833,1.50453,1.5286,0.65963,0.7886,0.75781,0.42564,1.35841,1.63887,1.638,0.00157623,0.00157623,0.00157623
13,104.406,1.35533,1.44436,1.51123,0.57579,0.76514,0.72359,0.3896,1.37559,2.0133,1.66686,0.00156798,0.00156798,0.00156798
14,109.741,1.33945,1.45398,1.54007,0.71594,0.69258,0.74523,0.42387,1.33901,1.59305,1.69992,0.00155973,0.00155973,0.00155973
15,115.443,1.30608,1.37317,1.48293,0.7007,0.70378,0.72391,0.4348,1.25195,1.62168,1.60816,0.00155148,0.00155148,0.00155148
16,121.327,1.29011,1.28803,1.43819,0.84191,0.68971,0.80079,0.48032,1.32728,1.45764,1.67615,0.00154323,0.00154323,0.00154323
17,126.585,1.21788,1.23254,1.42358,0.78644,0.68412,0.76618,0.44205,1.36012,1.23033,1.64132,0.00153497,0.00153497,0.00153497
18,132.395,1.3441,1.3162,1.50269,0.94368,0.63093,0.80859,0.48187,1.35795,1.20081,1.66497,0.00152672,0.00152672,0.00152672
19,138.189,1.29953,1.32473,1.47643,0.72887,0.69727,0.76297,0.46768,1.23096,1.17625,1.56639,0.00151847,0.00151847,0.00151847
20,143.733,1.25318,1.27687,1.4646,0.8083,0.72576,0.81258,0.49317,1.28548,1.2491,1.59067,0.00151022,0.00151022,0.00151022
21,149.602,1.22748,1.17896,1.43547,0.86693,0.72048,0.84007,0.52827,1.30953,1.11182,1.67266,0.00150197,0.00150197,0.00150197
22,155.568,1.28905,1.18801,1.4522,0.59543,0.68434,0.59255,0.3813,1.28836,1.73905,1.60283,0.00149372,0.00149372,0.00149372
23,161.22,1.23781,1.15844,1.40343,0.88955,0.77823,0.88263,0.55722,1.23945,1.05439,1.51492,0.00148546,0.00148546,0.00148546
24,166.891,1.19911,1.20794,1.43336,0.59886,0.64594,0.58166,0.3568,1.35131,1.64125,1.68536,0.00147721,0.00147721,0.00147721
25,172.869,1.21493,1.18738,1.42283,0.84707,0.7144,0.80683,0.51828,1.27837,1.20858,1.53848,0.00146896,0.00146896,0.00146896
26,178.328,1.21365,1.22507,1.39055,0.74406,0.67025,0.81319,0.52995,1.23149,1.15803,1.51127,0.00146071,0.00146071,0.00146071
27,184.421,1.21977,1.08712,1.4086,0.8569,0.83908,0.88339,0.56338,1.21496,0.95536,1.48334,0.00145246,0.00145246,0.00145246
28,190.208,1.21506,1.12766,1.40916,0.80398,0.82924,0.85738,0.49878,1.30531,1.04159,1.68487,0.00144421,0.00144421,0.00144421
29,195.836,1.1798,1.03149,1.39383,0.75753,0.72976,0.77768,0.46525,1.3465,1.39641,1.70782,0.00143595,0.00143595,0.00143595
30,201.498,1.14071,1.06466,1.35134,0.84618,0.76356,0.83031,0.54811,1.18959,1.08942,1.5971,0.0014277,0.0014277,0.0014277
31,207.187,1.12566,1.04841,1.35376,0.84628,0.80088,0.87329,0.55092,1.27657,1.02596,1.59364,0.00141945,0.00141945,0.00141945
