epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.65165,1.09343,2.85621,1.35959,0.00364,1,0.72856,0.44035,1.07097,2.70982,1.54612,0.000539324,0.000539324,0.000539324
2,8.74789,1.32305,2.2389,1.54912,0.77146,0.34043,0.4234,0.21236,1.40623,2.42931,2.03968,0.00108415,0.00108415,0.00108415
3,12.3234,1.39591,2.1501,1.63301,0.40309,0.43261,0.36584,0.1408,1.76055,2.48319,2.21011,0.00161797,0.00161797,0.00161797
4,16.3305,1.42165,2.13898,1.58658,0.23849,0.23727,0.16227,0.06828,1.71305,4.97284,2.37345,0.00161749,0.00161749,0.00161749
5,20.5474,1.44985,2.03071,1.56774,0.66359,0.18571,0.20127,0.09367,2.13384,2.61092,2.54953,0.00160099,0.00160099,0.00160099
6,24.0568,1.42399,1.98675,1.57575,0.66315,0.26429,0.21833,0.08083,2.43717,2.75576,2.71943,0.00158448,0.00158448,0.00158448
7,27.3326,1.4865,1.89992,1.61778,0.34344,0.54006,0.34852,0.16503,1.78367,2.80633,2.10309,0.00156798,0.00156798,0.00156798
8,31.2096,1.36091,1.78308,1.52889,0.56967,0.40093,0.40089,0.19306,1.95759,2.55741,2.3702,0.00155148,0.00155148,0.00155148
9,34.9194,1.34357,1.75223,1.5125,0.73717,0.38012,0.49701,0.24842,1.43556,2.04851,1.8355,0.00153497,0.00153497,0.00153497
10,38.6346,1.39634,1.67257,1.50085,0.52291,0.46553,0.42288,0.20766,1.63819,2.35413,2.06625,0.00151847,0.00151847,0.00151847
11,42.623,1.37774,1.62914,1.51164,0.73952,0.48484,0.48361,0.21179,1.84965,2.21029,2.26433,0.00150197,0.00150197,0.00150197
12,46.111,1.30604,1.55811,1.46847,0.55412,0.62277,0.59887,0.25652,1.6742,2.2687,2.00099,0.00148546,0.00148546,0.00148546
13,49.4274,1.33375,1.47472,1.50831,0.58353,0.60885,0.51472,0.25437,1.524,1.84957,1.88604,0.00146896,0.00146896,0.00146896
14,53.317,1.2833,1.39484,1.47338,0.66846,0.62484,0.63396,0.35179,1.49451,1.72617,1.89477,0.00145246,0.00145246,0.00145246
15,57.6196,1.28893,1.45269,1.46833,0.62042,0.58199,0.60962,0.32041,1.46692,1.66477,1.85604,0.00143595,0.00143595,0.00143595
16,61.4197,1.29888,1.35757,1.47085,0.45807,0.69639,0.58523,0.30557,1.5836,1.77148,1.92653,0.00141945,0.00141945,0.00141945
17,64.4559,1.23399,1.31476,1.40198,0.61875,0.50901,0.55747,0.27802,1.54173,1.84353,1.9686,0.00140295,0.00140295,0.00140295
18,68.1504,1.26378,1.31165,1.4275,0.57326,0.3395,0.45212,0.22698,1.72431,2.0807,2.20759,0.00138644,0.00138644,0.00138644
19,72.3252,1.30256,1.39852,1.48425,0.58944,0.5558,0.58982,0.30158,1.69143,1.72212,2.13586,0.00136994,0.00136994,0.00136994
20,77.227,1.26811,1.31034,1.46809,0.56576,0.53727,0.55685,0.31376,1.59121,1.61747,2.06055,0.00135344,0.00135344,0.00135344
21,80.6212,1.26369,1.31164,1.45403,0.55713,0.46553,0.54334,0.33334,1.46614,1.56146,1.79838,0.00133693,0.00133693,0.00133693
