epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,543.161,1.47149,2.23207,1.47708,0.58847,0.53048,0.47501,0.30938,1.1669,2.39226,1.15386,0.00333258,0.00333258,0.00333258
2,1081.86,1.41518,1.41061,1.38181,0.65893,0.47791,0.56284,0.35818,1.08412,2.63084,1.11779,0.00663292,0.00663292,0.00663292
3,1606,1.47106,1.38562,1.41685,0.82726,0.50073,0.58948,0.35917,1.13262,2.29315,1.1492,0.00990025,0.00990025,0.00990025
4,2139.75,1.45316,1.32969,1.40191,0.63998,0.53417,0.55661,0.36679,1.05174,2.61064,1.07262,0.0098515,0.0098515,0.0098515
5,2692.2,1.38086,1.22712,1.35618,0.85173,0.50962,0.61843,0.40539,0.97964,2.3425,1.04134,0.009802,0.009802,0.009802
6,3219.63,1.31975,1.1553,1.31187,0.86859,0.55904,0.67164,0.43306,0.95168,2.36735,0.99774,0.0097525,0.0097525,0.0097525
7,3784.59,1.28846,1.1004,1.28815,0.80223,0.55237,0.66727,0.45784,0.89866,2.36597,0.97053,0.009703,0.009703,0.009703
8,4439.95,1.25046,1.06018,1.2675,0.83097,0.59216,0.69559,0.47405,0.8647,2.10969,0.94835,0.0096535,0.0096535,0.0096535
9,5040.66,1.23291,1.02301,1.25241,0.89401,0.58296,0.70066,0.48917,0.84931,2.03708,0.94431,0.009604,0.009604,0.009604
10,5632.04,1.20844,0.99773,1.24169,0.86887,0.59821,0.70886,0.49865,0.82773,2.02832,0.92314,0.0095545,0.0095545,0.0095545
11,6271.86,1.19594,0.98271,1.23407,0.89989,0.58704,0.7139,0.50337,0.80628,2.12228,0.90957,0.009505,0.009505,0.009505
12,6871.75,1.17792,0.96461,1.22057,0.8069,0.64158,0.72707,0.51399,0.79418,2.05474,0.89568,0.0094555,0.0094555,0.0094555
13,7494.67,1.16216,0.93118,1.20977,0.89427,0.61746,0.73794,0.53203,0.78577,1.72543,0.89161,0.009406,0.009406,0.009406
14,8048.97,1.15089,0.92502,1.20232,0.88987,0.63632,0.74784,0.53801,0.77586,1.8513,0.88581,0.0093565,0.0093565,0.0093565
15,8553.32,1.14012,0.90563,1.19663,0.87216,0.65126,0.76286,0.54637,0.76096,1.69453,0.8781,0.009307,0.009307,0.009307
16,9063.87,1.12918,0.89938,1.18972,0.87365,0.63553,0.76804,0.55314,0.74798,1.78923,0.86911,0.0092575,0.0092575,0.0092575
17,9556.57,1.12167,0.88711,1.18293,0.92499,0.62718,0.77491,0.55778,0.73943,1.72769,0.85971,0.009208,0.009208,0.009208
18,10060.2,1.11274,0.87289,1.17965,0.93254,0.62563,0.77327,0.55899,0.72691,1.68196,0.8565,0.0091585,0.0091585,0.0091585
19,10557.6,1.10078,0.86136,1.17175,0.93898,0.62278,0.77486,0.56273,0.72093,1.66612,0.85158,0.009109,0.009109,0.009109
20,11089.5,1.102,0.8561,1.17571,0.92785,0.63875,0.77505,0.562,0.71699,1.59361,0.84921,0.0090595,0.0090595,0.0090595
21,11567.8,1.08556,0.83784,1.16453,0.91039,0.66699,0.78153,0.57067,0.70864,1.56769,0.84493,0.00901,0.00901,0.00901
22,12056.7,1.0778,0.83807,1.15949,0.91782,0.66274,0.78141,0.57392,0.70397,1.57116,0.84404,0.0089605,0.0089605,0.0089605
23,12549.7,1.07699,0.82886,1.15624,0.92148,0.66605,0.78322,0.57818,0.69829,1.53318,0.84006,0.008911,0.008911,0.008911
24,13059,1.06622,0.81954,1.15134,0.9251,0.66421,0.785,0.57896,0.69542,1.49871,0.83735,0.0088615,0.0088615,0.0088615
25,13570.9,1.06055,0.81865,1.14926,0.92142,0.66534,0.78779,0.58011,0.69377,1.44898,0.83541,0.008812,0.008812,0.008812
26,14061.8,1.05747,0.81313,1.14784,0.91939,0.66684,0.78894,0.58161,0.69134,1.4087,0.83314,0.0087625,0.0087625,0.0087625
